nome_area,totale,categoria_over80
Valle d'Aosta / Vallée d'Aoste,289,74
Abruzzo,1502,0
Molise,126,0
Umbria,637,0
Lombardia,9727,7
Sicilia,6877,0
Campania,7073,0
Abruzzo,1364,0
Basilicata,491,0
Abruzzo,5170,1320
Emilia-Romagna,7127,6
Provincia Autonoma Trento,831,44
Lazio,488,0
Veneto,3219,0
Calabria,3680,1972
Veneto,19136,5504
Puglia,5031,0
Toscana,8700,1383
Puglia,7244,5175
Umbria,692,0
Lazio,18781,8373
Marche,17,0
Calabria,5389,1540
Provincia Autonoma Trento,1449,0
Molise,1146,255
Friuli-Venezia Giulia,2493,1369
Calabria,1108,0
Marche,4127,3334
Provincia Autonoma Trento,1237,1037
Abruzzo,1401,0
Abruzzo,5429,1539
Emilia-Romagna,11828,6089
Basilicata,411,0
Campania,8565,4582
Toscana,10357,4127
Emilia-Romagna,9062,0
Lazio,4668,813
Sicilia,3951,10
Provincia Autonoma Trento,914,381
Piemonte,6538,0
Calabria,1711,0
Marche,4146,3641
Sardegna,1183,1
Emilia-Romagna,7530,50
Puglia,1844,0
Molise,614,395
Lombardia,12158,28
Puglia,3943,0
Sardegna,588,0
Campania,8506,4545
Lazio,9335,3754
Basilicata,949,0
Sicilia,15800,5587
Provincia Autonoma Trento,772,195
Lazio,6293,0
Lombardia,25464,142
Emilia-Romagna,7671,5478
Valle d'Aosta / Vallée d'Aoste,192,166
Veneto,35524,16869
Toscana,6490,29
Veneto,2291,0
Provincia Autonoma Bolzano / Bozen,1801,770
Sardegna,4963,570
Basilicata,945,0
Molise,593,0
Basilicata,84,0
Calabria,2534,719
Sicilia,14462,5015
Lombardia,853,1
Valle d'Aosta / Vallée d'Aoste,436,337
Friuli-Venezia Giulia,2668,405
Veneto,5159,0
Basilicata,1391,545
Campania,6904,2158
Lombardia,5979,11
Puglia,1635,0
Veneto,5934,1
Piemonte,13636,7329
Sicilia,5160,74
Toscana,8175,218
Friuli-Venezia Giulia,3074,1557
Basilicata,1189,814
Valle d'Aosta / Vallée d'Aoste,251,2
Umbria,1719,0
Sicilia,5496,9
Piemonte,5378,0
Marche,3444,2811
Valle d'Aosta / Vallée d'Aoste,315,177
Veneto,8745,4
Toscana,7721,509
Valle d'Aosta / Vallée d'Aoste,325,0
Valle d'Aosta / Vallée d'Aoste,339,109
Lazio,23604,9461
Marche,1598,0
Umbria,750,0
Abruzzo,447,0
Umbria,4590,689
Friuli-Venezia Giulia,800,382
Puglia,15778,5358
Calabria,1800,345
Calabria,1331,1
Sardegna,2237,1
Molise,905,572
Calabria,1064,0
Toscana,5648,15
Liguria,2275,5
Sicilia,5178,3682
Lombardia,8089,65
Puglia,3837,9
Marche,4965,3318
Lazio,7370,0
Lombardia,3577,3
Lombardia,13918,8250
Umbria,942,0
Calabria,6445,2021
Campania,7340,0
Lazio,16995,9340
Abruzzo,2696,1368
Provincia Autonoma Trento,1624,0
Campania,3924,2463
Provincia Autonoma Bolzano / Bozen,768,566
Piemonte,19816,13285
Provincia Autonoma Trento,641,0
Valle d'Aosta / Vallée d'Aoste,23,17
Provincia Autonoma Bolzano / Bozen,1691,165
Liguria,624,0
Sardegna,4000,853
Marche,5689,2261
Puglia,11582,7109
Lazio,959,0
Umbria,3781,2832
Sardegna,1563,0
Sicilia,1576,0
Puglia,5575,0
Sicilia,15124,4929
Calabria,1461,380
Puglia,15039,6118
Lombardia,15144,8056
Emilia-Romagna,9295,187
Abruzzo,1632,0
Provincia Autonoma Trento,533,322
Basilicata,106,0
Lombardia,27305,21052
Calabria,2154,0
Umbria,4595,2340
Toscana,4063,0
Provincia Autonoma Trento,42,0
Umbria,845,45
Emilia-Romagna,18405,9013
Campania,5341,15
Abruzzo,471,0
Sardegna,60,0
Abruzzo,3639,1963
Umbria,450,0
Umbria,4554,3122
Provincia Autonoma Bolzano / Bozen,3045,1436
Friuli-Venezia Giulia,3759,2424
Veneto,3267,3
Abruzzo,2061,0
Sicilia,4747,0
Valle d'Aosta / Vallée d'Aoste,251,75
Friuli-Venezia Giulia,3166,1451
Valle d'Aosta / Vallée d'Aoste,327,237
Valle d'Aosta / Vallée d'Aoste,22,4
Provincia Autonoma Trento,709,0
Emilia-Romagna,16346,6359
Calabria,4136,1390
Veneto,4117,1
Umbria,1731,152
Sardegna,865,0
Puglia,1808,2
Emilia-Romagna,17261,9465
Marche,4132,2651
Molise,562,0
Basilicata,813,0
Valle d'Aosta / Vallée d'Aoste,206,96
Provincia Autonoma Bolzano / Bozen,1298,920
Calabria,996,0
Abruzzo,6109,2661
Umbria,715,0
Provincia Autonoma Trento,3084,882
Sardegna,1105,0
Emilia-Romagna,21369,8071
Emilia-Romagna,2442,0
Lombardia,41605,20512
Marche,1709,0
Toscana,9268,10
Molise,1589,1184
Toscana,13885,11
Molise,265,8
Campania,8165,0
Marche,1583,0
Lombardia,38692,21624
Lombardia,7204,17
Sicilia,7534,0
Friuli-Venezia Giulia,1053,0
Lazio,11379,4798
Calabria,2289,0
Toscana,4381,3
Toscana,4485,1
Sicilia,14033,5151
Abruzzo,1433,0
Molise,334,0
Friuli-Venezia Giulia,1510,0
Puglia,5798,281
Lazio,17776,8172
Emilia-Romagna,20332,10174
Umbria,588,0
Piemonte,8963,0
Veneto,18039,6741
Liguria,1102,1
Campania,7261,9
Veneto,21965,6708
Friuli-Venezia Giulia,1561,0
Lombardia,8326,22
Campania,7237,0
Abruzzo,111,0
Veneto,21839,10489
Piemonte,22484,12247
Basilicata,652,43
Calabria,2557,0
Sicilia,3107,0
Sicilia,13064,3947
Piemonte,5588,1
Lombardia,103,0
Sicilia,7513,0
Piemonte,8740,0
Toscana,6018,0
Lombardia,11795,4523
Veneto,23274,9931
Campania,10721,0
Sardegna,1314,1
Basilicata,183,0
Basilicata,903,1
Piemonte,10232,0
Lazio,6045,72
Lazio,3663,123
Calabria,3444,1180
Umbria,1368,1351
Friuli-Venezia Giulia,7,0
Sicilia,9601,4028
Lazio,23316,7571
Marche,1596,0
Veneto,4090,3
Marche,1802,0
Friuli-Venezia Giulia,2859,465
Sardegna,1657,1012
Lazio,18506,8485
Calabria,3448,1093
Marche,3869,2837
Provincia Autonoma Bolzano / Bozen,114,3
Sardegna,8786,2894
Piemonte,12199,6320
Basilicata,1783,905
Puglia,5885,1484
Friuli-Venezia Giulia,630,0
Sardegna,2763,321
Emilia-Romagna,3603,186
Puglia,11306,6343
Molise,78,0
Toscana,31877,22414
Molise,1180,726
Sicilia,18906,5475
Valle d'Aosta / Vallée d'Aoste,430,240
Provincia Autonoma Trento,573,388
Provincia Autonoma Bolzano / Bozen,1769,1019
Liguria,1334,589
Valle d'Aosta / Vallée d'Aoste,216,0
Piemonte,4784,0
Marche,1193,0
Piemonte,730,0
Provincia Autonoma Bolzano / Bozen,197,0
Abruzzo,1830,0
Lazio,7478,0
Emilia-Romagna,11893,4274
Campania,4643,1338
Campania,2929,290
Provincia Autonoma Bolzano / Bozen,2457,882
Emilia-Romagna,7699,0
Valle d'Aosta / Vallée d'Aoste,768,196
Provincia Autonoma Bolzano / Bozen,487,1
Friuli-Venezia Giulia,1352,0
Basilicata,242,0
Marche,1562,0
Veneto,9206,5
Marche,2120,0
Liguria,1899,0
Emilia-Romagna,18040,7978
Lombardia,32171,18189
Sardegna,6540,3322
Umbria,3374,2248
Calabria,608,331
Campania,1490,0
Toscana,32892,17140
Sicilia,8373,0
Emilia-Romagna,10381,0
Molise,1806,832
Provincia Autonoma Bolzano / Bozen,1752,452
Umbria,277,0
Liguria,7365,3822
Marche,7576,2922
Toscana,5094,0
Sicilia,10161,3981
Campania,13895,6510
Campania,5469,3395
Basilicata,607,0
Provincia Autonoma Bolzano / Bozen,2042,62
Friuli-Venezia Giulia,2715,0
Friuli-Venezia Giulia,3739,1686
Marche,833,0
Sardegna,2968,0
Friuli-Venezia Giulia,3207,2244
Valle d'Aosta / Vallée d'Aoste,218,6
Lazio,5669,7
Liguria,5514,4254
Abruzzo,5073,2401
Lazio,7742,0
Provincia Autonoma Bolzano / Bozen,2328,1985
Piemonte,10749,7992
Friuli-Venezia Giulia,1973,0
Sardegna,2183,0
Friuli-Venezia Giulia,4977,1989
Friuli-Venezia Giulia,3362,1973
Sicilia,14704,4295
Basilicata,2825,2174
Umbria,732,0
Umbria,3638,1302
Provincia Autonoma Bolzano / Bozen,1927,214
Molise,461,0
Sicilia,6078,0
Piemonte,15998,8898
Valle d'Aosta / Vallée d'Aoste,20,0
Veneto,27834,9243
Lazio,23658,9260
Campania,15547,5103
Calabria,1534,118
Umbria,3558,2828
Puglia,3379,4
Abruzzo,1614,0
Molise,850,469
Provincia Autonoma Bolzano / Bozen,317,227
Piemonte,3907,0
Campania,11763,5960
Toscana,10587,3292
Liguria,2814,0
Sardegna,606,251
Provincia Autonoma Trento,84,0
Molise,646,0
Lazio,8795,4762
Toscana,1944,1
Provincia Autonoma Bolzano / Bozen,580,482
Valle d'Aosta / Vallée d'Aoste,512,363
Umbria,1240,0
Basilicata,721,0
Veneto,5020,2
Marche,200,0
Emilia-Romagna,10001,5588
Abruzzo,122,0
Provincia Autonoma Trento,107,0
Provincia Autonoma Trento,75,0
Sicilia,8191,2925
Piemonte,3087,0
Liguria,809,0
Campania,5833,3870
Umbria,3330,1683
Campania,1155,0
Liguria,12434,3979
Abruzzo,5530,2908
Sardegna,8779,3306
Toscana,3497,0
Abruzzo,1201,0
Lazio,19581,7406
Liguria,2259,662
Basilicata,1896,985
Campania,11029,8437
Puglia,3279,997
Provincia Autonoma Bolzano / Bozen,868,0
Marche,3445,2653
Provincia Autonoma Bolzano / Bozen,1133,192
Basilicata,199,0
Piemonte,5529,0
Umbria,3861,2948
Emilia-Romagna,5310,305
Marche,3563,2491
Campania,24335,5363
Piemonte,19971,9548
Liguria,1060,474
Liguria,861,0
Toscana,5125,1
Liguria,12,0
Campania,10411,2237
Lombardia,13437,9
Umbria,1056,0
Lombardia,14633,6320
Friuli-Venezia Giulia,1395,247
Abruzzo,379,0
Valle d'Aosta / Vallée d'Aoste,271,0
Provincia Autonoma Trento,850,480
Valle d'Aosta / Vallée d'Aoste,223,64
Liguria,407,0
Abruzzo,3304,1968
Emilia-Romagna,6532,4048
Campania,2093,0
Provincia Autonoma Bolzano / Bozen,1498,731
Emilia-Romagna,5728,3641
Campania,18952,5040
Lazio,21311,8903
Lazio,5250,0
Emilia-Romagna,7037,5376
Lazio,6288,35
Marche,5818,4588
Piemonte,15252,7665
Sardegna,3257,0
Provincia Autonoma Trento,2716,623
Valle d'Aosta / Vallée d'Aoste,913,385
Provincia Autonoma Trento,504,0
Sicilia,6102,0
Lazio,25574,9387
Lazio,23104,9158
Puglia,11572,7139
Piemonte,9227,4100
Sicilia,9528,0
Umbria,665,0
Sardegna,39,36
Liguria,6203,3681
Marche,1737,0
Lombardia,39689,21195
Marche,7035,4728
Puglia,146,0
Friuli-Venezia Giulia,6802,2401
Veneto,8977,1956
Lombardia,9391,2919
Calabria,5093,1963
Abruzzo,1386,0
Sardegna,1877,1
Emilia-Romagna,24092,12140
Friuli-Venezia Giulia,2259,0
Calabria,5546,1110
Liguria,3970,2210
Piemonte,11726,8862
Piemonte,6876,0
Provincia Autonoma Bolzano / Bozen,1166,345
Provincia Autonoma Trento,213,0
Sicilia,4693,0
Toscana,19381,13220
Umbria,1658,0
Calabria,5824,1769
Umbria,4823,3287
Liguria,988,28
Umbria,4436,1518
Marche,398,0
Friuli-Venezia Giulia,3862,2004
Molise,1419,699
Basilicata,1008,516
Molise,1728,1395
Basilicata,775,190
Valle d'Aosta / Vallée d'Aoste,556,334
Puglia,4204,1
Toscana,9038,3435
Lombardia,9505,8
Lazio,5069,509
Liguria,2614,0
Puglia,15008,4728
Lombardia,12382,6
Provincia Autonoma Trento,1131,736
Umbria,1495,985
Lazio,4361,408
Molise,672,384
Toscana,5748,1
Liguria,7297,3773
Umbria,322,0
Campania,13327,3403
Friuli-Venezia Giulia,4804,425
Liguria,869,267
Valle d'Aosta / Vallée d'Aoste,248,127
Lombardia,11708,32
Abruzzo,1604,0
Molise,420,0
Sardegna,1920,176
Lazio,6910,189
Provincia Autonoma Bolzano / Bozen,1514,101
Toscana,3742,6
Molise,1764,266
Provincia Autonoma Bolzano / Bozen,1969,7
Valle d'Aosta / Vallée d'Aoste,375,276
Calabria,1358,433
Umbria,1693,394
Basilicata,1448,1390
Veneto,5732,3798
Emilia-Romagna,10810,0
Emilia-Romagna,9274,7770
Molise,689,0
Provincia Autonoma Trento,1566,1092
Piemonte,12235,6594
Sicilia,5067,0
Abruzzo,2077,718
Piemonte,6209,0
Campania,12164,9962
Valle d'Aosta / Vallée d'Aoste,131,59
Abruzzo,4733,3650
Umbria,1173,0
Campania,16473,6349
Friuli-Venezia Giulia,3200,2512
Emilia-Romagna,10947,7673
Provincia Autonoma Bolzano / Bozen,1646,4
Toscana,5383,12
Campania,8910,0
Veneto,7724,1314
Puglia,3820,2
Puglia,3693,0
Provincia Autonoma Bolzano / Bozen,910,0
Marche,1871,0
Piemonte,12062,7023
Sardegna,2271,1
Emilia-Romagna,9873,0
Abruzzo,2809,732
Calabria,2497,0
Umbria,4169,2648
Sicilia,1271,0
Molise,370,96
Piemonte,1038,0
Marche,3928,573
Friuli-Venezia Giulia,1720,0
Puglia,13140,5622
Calabria,4362,2126
Sicilia,10620,2794
Piemonte,13977,7431
Provincia Autonoma Trento,1024,434
Emilia-Romagna,7292,5847
Basilicata,905,492
Sardegna,4367,2526
Toscana,9277,180
Sicilia,14956,4471
Liguria,1891,0
Provincia Autonoma Bolzano / Bozen,638,502
Lombardia,23455,9724
Abruzzo,1483,0
Basilicata,1986,1678
Abruzzo,1525,0
Puglia,3961,0
Basilicata,294,0
Piemonte,9232,4220
Veneto,125,0
Sardegna,1495,1
Veneto,12422,7862
Campania,16297,7128
Liguria,1359,0
Provincia Autonoma Bolzano / Bozen,41,1
Sardegna,7984,2727
Campania,15240,8433
Molise,538,0
Provincia Autonoma Trento,406,1
Sicilia,2349,0
Veneto,7908,4937
Piemonte,10515,6792
Liguria,2753,0
Puglia,13756,4898
Molise,314,0
Molise,449,0
Friuli-Venezia Giulia,2599,1332
Molise,429,0
Liguria,1661,0
Provincia Autonoma Trento,1220,0
Abruzzo,2291,610
Umbria,1335,305
Marche,1973,0
Sardegna,539,3
Emilia-Romagna,12458,6865
Veneto,29336,10344
Sardegna,2030,144
Sicilia,20472,5524
Puglia,2961,8
Abruzzo,3301,1111
Provincia Autonoma Trento,2457,1093
Lazio,26352,9456
Puglia,5712,0
Veneto,9398,3
Friuli-Venezia Giulia,1583,0
Molise,731,0
Basilicata,540,169
Provincia Autonoma Bolzano / Bozen,810,0
Piemonte,912,0
Basilicata,1135,884
Provincia Autonoma Bolzano / Bozen,2781,598
Basilicata,1092,0
Piemonte,3864,0
Provincia Autonoma Trento,1270,0
Abruzzo,1603,0
Valle d'Aosta / Vallée d'Aoste,264,170
Friuli-Venezia Giulia,895,0
Campania,9979,2933
Campania,14536,4863
Molise,541,433
Campania,10988,3755
Sardegna,1615,0
Lombardia,7532,5836
Sardegna,2899,161
Lazio,25561,9196
Umbria,743,433
Liguria,734,0
Lazio,5839,453
Friuli-Venezia Giulia,2615,1943
Valle d'Aosta / Vallée d'Aoste,319,9
Toscana,1119,0
Lombardia,18212,10484
Friuli-Venezia Giulia,3739,1739
Toscana,9817,22
Marche,1908,0
Emilia-Romagna,1400,19
Provincia Autonoma Trento,817,0
Marche,7415,1244
Toscana,4263,0
Provincia Autonoma Bolzano / Bozen,1630,905
Provincia Autonoma Bolzano / Bozen,2820,1945
Basilicata,1070,576
Veneto,7294,4366
Umbria,19,19
Umbria,4562,2480
Campania,6529,3058
Campania,1523,0
Emilia-Romagna,6815,4222
Puglia,9615,6801
Molise,173,0
Veneto,8130,1
Emilia-Romagna,22849,9046
Valle d'Aosta / Vallée d'Aoste,290,0
Calabria,5785,1883
Abruzzo,1509,0
Provincia Autonoma Trento,846,393
Sardegna,7012,2975
Puglia,2006,0
Valle d'Aosta / Vallée d'Aoste,294,1
Provincia Autonoma Bolzano / Bozen,1709,96
Veneto,4063,1
Friuli-Venezia Giulia,5177,2472
Basilicata,2896,2192
Campania,17017,5340
Basilicata,983,0
Puglia,11883,5781
Liguria,5273,3680
Sardegna,1454,0
Campania,4980,0
Sicilia,815,0
Provincia Autonoma Trento,492,0
Molise,1018,933
Provincia Autonoma Trento,246,0
Umbria,1859,1006
Abruzzo,548,0
Valle d'Aosta / Vallée d'Aoste,260,93
Lazio,13489,9379
Toscana,620,0
Sicilia,13120,3768
Abruzzo,1611,0
Basilicata,916,0
Sicilia,12450,3843
Toscana,17867,12129
Sicilia,8949,3996
Marche,6986,2656
Emilia-Romagna,7257,0
Marche,1226,0
Sardegna,1408,0
Abruzzo,816,0
Basilicata,554,0
Abruzzo,3486,2849
Piemonte,4105,0
Lombardia,18713,10816
Lazio,18251,8170
Valle d'Aosta / Vallée d'Aoste,494,88
Friuli-Venezia Giulia,90,0
Umbria,269,0
Liguria,4985,3693
Campania,20850,5482
Liguria,4861,3336
Toscana,805,0
Liguria,2627,0
Provincia Autonoma Trento,1150,303
Lombardia,40316,22037
Emilia-Romagna,4149,267
Valle d'Aosta / Vallée d'Aoste,520,52
Campania,13918,4746
Sicilia,14567,4992
Sardegna,57,0
Abruzzo,1978,410
Basilicata,3238,2664
Marche,1176,0
Puglia,3990,1
Piemonte,13886,7600
Sicilia,808,0
Toscana,4835,0
Lombardia,28661,10771
Liguria,2313,0
Emilia-Romagna,4408,3554
Piemonte,13469,7934
Calabria,2180,0
Friuli-Venezia Giulia,3347,2861
Friuli-Venezia Giulia,3737,1735
Lazio,24918,9092
Calabria,1549,522
Lombardia,100,0
